No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
52;QUANTUM COMPUTING H/W AND S/W AND ARTIFICIAL INTELLIGENCE;VOON GERARD [CA];VOON GERARD G V [CA];CA2618651A1;2008-02-25;"A63F13/00 
C12Q1/68 
G06N10/00 
G06F17/27 
G06Q40/04";"B82Y10/00 (EP) 
G06N10/00 (EP)";2009-08-25;2009-08-25;041010597
53;METHODS AND SYSTEMS FOR UNIFIED QUANTUM COMPUTING FRAMEWORKS;"ZARIBAFIYAN ARMAN [CA] 
ZAHEDINEJAD EHSAN [CA]";1QB INF TECH INC [CA];WO2018119522A1;2016-12-30;"G06J1/00 
G06N99/00";"G06F17/11 (US) 
G06F17/18 (US) 
G06F9/30018 (US) 
G06F9/30029 (US) 
G06F9/5027 (US) 
G06N10/00 (EP,US) 
G06N5/003 (EP,US)";2018-07-05;2018-07-05;062706577
54;SYSTEMS AND METHODS FOR REMOVING UNWANTED INTERACTIONS IN QUANTUM DEVICES;LANTING TREVOR MICHAEL [CA];D WAVE SYSTEMS INC [CA];"US10489477B2 
US2018267933A1";2014-03-12;"G06N99/00 
G06F15/82 
G06F17/00 
G06N10/00";"G06F15/82 (US) 
G06F17/00 (US) 
G06N10/00 (EP,US)";"2018-09-20 
2019-11-26";2015-09-17;054069222
55;APPARATUS AND METHODS FOR QUANTUM COMPUTING AND MACHINE LEARNING;"KILLORAN NATHAN [CA] 
BROMLEY THOMAS R [CA] 
ARRAZOLA JUAN MIGUEL [CA] 
SCHULD MARIA [ZA] 
QUESADA NICOLAS [CA]";XANADU QUANTUM TECH INC [CA];US2020401920A1;2019-06-18;"G06N10/00 
G06N20/00 
G06N3/04 
G06N3/067";"G06N10/00 (EP,US) 
G06N20/00 (US) 
G06N3/0445 (EP,US) 
G06N3/0454 (EP) 
G06N3/067 (US) 
G06N3/084 (EP)";2020-12-24;2020-12-24;074038593
56;APPARATUS AND METHODS FOR QUANTUM COMPUTING WITH PRE-TRAINING;"IJAZ AROOSA [CA] 
SCHULD MARIA [ZA] 
LLOYD SETH [US]";XANADU QUANTUM TECH INC [CA];CA3102991A1;2019-12-18;"G06N10/00 
G06N3/04 
G06N3/08";"G06N10/00 (US) 
G06N10/60 (EP) 
G06N20/20 (US) 
G06N3/0454 (US) 
G06N3/08 (EP,US) 
G06N3/0454 (EP) 
G06N3/0472 (EP)";2021-06-18;2021-06-18;076433092
57;Ferroelectric-superconductor heterostructures in solid state quantum computing systems;"FRANZ MARCEL [CA] 
ROSE GEORDIE [CA] 
HILTON JEREMY [CA]";;US2002180006A1;2001-05-31;"H01L29/76 
H01L29/94 
H01L31/062 
H01L39/00 
G06N99/00 
H01L39/10 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/10 (EP,US) 
H01L39/228 (EP,US)";2002-12-05;2002-12-05;025360814
58;APPARATUS AND METHODS FOR QUANTUM COMPUTING AND MACHINE LEARNING;"KILLORAN NATHAN [CA] 
BROMLEY THOMAS [CA] 
ARRAZOLA JUAN MIGUEL [CA] 
SCHULD MARIA [ZA] 
QUESADA NICOLAS [CA]";"KILLORAN NATHAN [CA] 
BROMLEY THOMAS [CA] 
ARRAZOLA JUAN MIGUEL [CA] 
SCHULD MARIA [ZA] 
QUESADA NICOLAS [CA]";CA3046887A1;2019-06-17;G06N10/00;"G06N10/00 (EP) 
G06N3/0454 (EP) 
G06N3/084 (EP)";2020-12-17;2020-12-17;074036588
59;Quantum Circuit Synthesis Using Deterministic Walks;"MOSCA MICHELE [CA] 
DI MATTEO OLIVIA NICOLE [CA]";MOSCA MICHELE [CA];"US10885458B2 
US2018039903A1";2015-03-09;"G06N99/00 
B82Y10/00 
G06F30/30 
G06N10/00";"B82Y10/00 (US) 
G06F30/39 (GB) 
G06N10/00 (EP,GB,US)";"2018-02-08 
2021-01-05";2016-09-15;056879707
60;SYSTEMS AND METHODS FOR ANALOG PROCESSING OF PROBLEM GRAPHS HAVING ARBITRARY SIZE AND/OR CONNECTIVITY;"THOM MURRAY C [CA] 
ROY AIDAN P [CA] 
CHUDAK FABIAN A [CA] 
BIAN ZHENGBING [CA] 
MACREADY WILLIAM G [CA] 
ISRAEL ROBERT B [CA] 
BOOTHBY TOMAS J [CA] 
YARKONI SHEIR [CA] 
XUE YANBO [CA] 
KORENKEVYCH DMYTRO [CA] 
BOOTHBY KELLY T R [CA]";"D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US10599988B2 
US2017255629A1";2016-03-02;"G06F17/30 
G06N99/00 
G06N10/00";G06N10/00 (EP,US);"2017-09-07 
2020-03-24";2017-09-07;059724197
61;SYSTEMS AND METHODS FOR SIMULATING A QUANTUM PROCESSOR;"JOHNSON MARK [CA] 
REIS FILHO MAURICIO [CA] 
VOLKMANN MARK [CA] 
PERMINOV ILYA [CA] 
BUNYK PAUL [CA]";D WAVE SYSTEMS INC [CA];WO2021011412A1;2019-07-12;"G06F30/20 
G06J3/00 
G06N99/00";"G06F30/30 (EP) 
G06F30/3308 (EP) 
G06N10/00 (EP) 
G06J3/00 (EP)";2021-01-21;2021-01-21;074211233
62;Quantum Computer with Improved Continuous Quantum Generator;"ROMERO JHONATHAN [US] 
ASPURU-GUZIK ALAN [CA]";ZAPATA COMPUTING INC [US];US2020118025A1;2018-10-12;"G06N10/00 
G06N20/10 
G06N20/20 
G06N3/08";"G06N10/00 (EP,US) 
G06N20/10 (US) 
G06N20/20 (US) 
G06N3/0445 (EP) 
G06N3/0454 (EP) 
G06N3/0472 (EP) 
G06N3/08 (US) 
G06N3/088 (EP)";2020-04-16;2020-04-16;070160053
63;METHODS AND SYSTEMS FOR IMPROVING AN ESTIMATION OF A PROPERTY OF A QUANTUM STATE;"HOPFMUELLER FLORIAN [DE] 
BENNEWITZ ELIZABETH ROBERTS [US] 
KULCHYTSKYY BOHDAN [CA] 
CARRASQUILLA ÀLVAREZ JUAN FELIPE [CA] 
RONAGH POOYA [CA]";1QB INF TECH INC [CA];WO2021243454A1;2020-06-04;"G06N10/00 
G06N3/02 
G06N3/08";"G06N10/40 (EP) 
G06N10/60 (EP) 
G06N3/08 (EP) 
G06N3/0445 (EP)";2021-12-09;2021-12-09;078831415
64;MANAGEMENT OF POWER CONSUMPTION IN OPTICAL CIRCUITS FOR QUANTUM COMPUTING;"DHAND ISH [CA] 
QI HAOYU [CA] 
NEUHAUS LEONHARD [DE] 
HELT LUKAS [CA] 
BRADLER KAMIL [CA] 
VERNON ZACHARY [CA] 
KUMAR SHREYA PRASANNA [CA]";XANADU QUANTUM TECH INC [CA];CA3094544A1;2019-09-26;"G06E3/00 
G06N10/00 
G06N3/12";"G06E3/008 (US) 
G06F17/11 (EP) 
G06F17/14 (US) 
G06N10/00 (EP,US) 
G06N3/126 (EP)";2021-03-26;2021-03-26;075163271
65;QUANTUM COMPUTER ARCHITECTURE BASED ON SILICON DONOR QUBITS COUPLED BY PHOTONS;"RAUSSENDORF ROBERT [CA] 
YAN XIRUO [CA] 
WU JINGDA [CA] 
YOUNG JEFFREY [CA]";UNIV BRITISH COLUMBIA [CA];WO2021138746A1;2020-01-10;"G06E3/00 
G06N10/00";"G06E3/001 (EP) 
G06N10/00 (EP)";2021-07-15;2021-07-15;076787415
66;Superconducting low inductance qubit;"ZAGOSKIN ALEXANDRE M [CA] 
TZALENCHUK ALEXANDER YA [GB] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];"US2003071258A1 
US6979836B2";2001-08-29;"H01L31/0256 
H01L39/22 
H04L9/00 
H01L29/06 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/225 (EP,US) 
Y10S977/933 (EP,US)";"2003-04-17 
2005-12-27";2003-04-17;026925713
67;Quantum phase-charge coupled device;"BLAIS ALEXANDRE [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];"US2003173498A1 
US7332738B2";2002-03-16;"H01L27/00 
G06N99/00 
H01L27/18 
H01L39/22 
H01L29/06 
H01L29/88 
H01L39/00";"B82Y10/00 (EP) 
G06N10/00 (EP) 
H01L27/18 (EP) 
H01L39/22 (EP) 
H01L39/225 (EP) 
Y10S977/933 (EP)";"2003-09-18 
2008-02-19";2003-09-18;028044211
68;METHODS AND SYSTEMS FOR QUANTUM COMPUTING ENABLED MOLECULAR AB INITIO SIMULATIONS USING QUANTUM-CLASSICAL COMPUTING HARDWARE;"YAMAZAKI TAKESHI [CA] 
ZARIBAFIYAN ARMAN [CA] 
MATSUURA SHUNJI [CA]";1QB INF TECH INC [CA];WO2019104440A1;2017-11-30;"G06N10/00 
G06N99/00 
G16C10/00 
G16C20/00";"G06N10/00 (EP,US) 
G06N5/003 (EP) 
G16C10/00 (EP,US) 
G16C20/20 (US) 
G16C20/30 (US) 
G16C20/90 (EP) 
G16C20/30 (EP)";2019-06-06;2019-06-06;066663731
69;DECODING-BASED METHOD FOR QUANTUM CIRCUIT OPTIMIZATION;"MOSCA MICHELE [CA] 
AMY MATTHEW EDWARD JOSEPH [CA]";MOSCA MICHELE [CA];WO2017127923A1;2016-01-26;"B82Y10/00 
G06N99/00";"B82Y10/00 (EP,US) 
G06F30/30 (US) 
G06F30/327 (US) 
G06F30/337 (US) 
G06F30/373 (US) 
G06N10/00 (EP,US) 
G06N99/00 (EP,US) 
B82Y40/00 (US) 
G06F17/16 (US) 
G06F30/398 (US)";2017-08-03;2017-08-03;059396885
70;SYSTEM FOR REVERSIBLE CIRCUIT COMPILATION WITH SPACE CONSTRAINT, METHOD AND PROGRAM;"ROETTELER MARTIN [US] 
SVORE KRYSTA [US] 
PARENT ALEX [CA]";MICROSOFT TECHNOLOGY LICENSING LLC [US];US2021081589A1;2015-06-08;"G06F30/327 
G06N10/00";"G06F30/327 (EP,US) 
G06N10/00 (EP,US) 
G09C1/00 (EP) 
H04L9/0643 (EP)";2021-03-18;2016-12-15;056203952
71;SYSTEMS AND METHODS FOR PROBLEM SOLVING, USEFUL FOR EXAMPLE IN QUANTUM COMPUTING;"HAMZE FIRAS [CA] 
KING ANDREW DOUGLAS [CA] 
RAYMOND JACK [CA] 
ROY AIDAN PATRICK [CA] 
ISRAEL ROBERT [CA] 
ANDRIYASH EVGENY [CA] 
MCGEOCH CATHERINE [US] 
RANJBAR MANI [CA]";D-WAVE SYSTEMS INC [CA];"US2017255872A1 
US9881256B2";2014-08-22;"G06F15/18 
G06F15/76 
G06F17/10 
G06F9/02 
G06F9/32 
G06N3/12 
G06N99/00 
H03K19/195";"G06F15/76 (US) 
G06F17/10 (US) 
G06F9/02 (US) 
G06F9/32 (US) 
G06N10/00 (EP,CN,US) 
G06N20/00 (US) 
G06N3/12 (US)";"2017-09-07 
2018-01-30";2016-02-25;055351314
72;METHOD FOR IMPLEMENTING QUANTUM COMPUTER, QUANTUM COMMUNICATION, AND BARE-EYE 4D HOLOGRAPHIC TELEVISION SYSTEM;"LIU TRAVIS [AU] 
LIU SHICHANG [CN] 
LIU YUN [CA]";"LIU TRAVIS [AU] 
LIU SHICHANG [CN] 
LIU YUN [CA]";WO2014121524A1;2013-02-11;H04N15/00;"B82Y10/00 (EP) 
G03H1/2294 (EP) 
G06N10/00 (EP)";2014-08-14;2014-08-14;051299227
73;QUANTUM ANALOG COMPUTING AT ROOM TEMPERATURE USING CONVENTIONAL ELECTRONIC CIRCUITRY;"SELLIER JEAN-MICHEL [CA] 
KAPANOVA KRISTINA [BG]";TECH INFINITYQ INC [CA];WO2021237362A1;2020-05-29;"B82Y10/00 
G06G7/48 
G06N10/00 
H01L39/00";"B82Y10/00 (EP) 
G06N10/40 (EP) 
G06N3/0445 (EP) 
H01L39/00 (EP) 
G06N10/60 (EP)";2021-12-02;2021-12-02;078745384
74;SYSTEMS AND METHODS FOR QUANTUM COMPUTATION USING REAL PHYSICAL HARDWARE;"HARRIS RICHARD G [CA] 
ROSE GEORDIE [CA] 
KARIMI KAMRAN [CA]";"DWAVE SYS INC [CA] 
HARRIS RICHARD G [CA] 
ROSE GEORDIE [CA] 
KARIMI KAMRAN [CA]";"WO2010151581A2 
WO2010151581A3";2009-06-26;"G06F17/00 
G06F9/44 
G06F9/46";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2010-12-29 
2011-04-21";2010-12-29;043387109
75;QUANTUM PHASE-CHARGE COUPLED DEVICE;"HILTON JEREMY P [CA] 
BLAIS ALEXANDRE [CA]";DWAVE SYS INC [CA];CA2479196A1;2002-03-16;"G06N1/00 
H01L27/18 
H01L39/22 
G06N99/00 
H01L27/18 
H01L39/22";"B82Y10/00 (EP) 
G06N10/00 (EP) 
H01L27/18 (EP) 
H01L39/22 (EP)";2003-09-25;2003-09-25;028046719
76;Resonant controlled qubit system;"BLAIS ALEXANDRE [US] 
HILTON JERMEY P [CA] 
ZAGOSKIN ALEXANDRE M [CA] 
HILTON JEREMY P [CA]";"DWAVE SYS INC [US] 
DWAVE SYS INC [CA]";"US2004173792A1 
US6897468B2";2002-04-20;"H01L29/06 
H01L31/0256 
H01L31/0328 
G06F7/48 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
Y10S977/933 (EP,US)";"2004-09-09 
2005-05-24";2003-10-30;029255353
77;Magnetic Flux Control in Superconducting Device;"CHEN YU [CA] 
KAFRI DVIR [US]";GOOGLE LLC [US];"US10528887B2 
US2019188597A1";2017-08-25;"G06N10/00 
G06N99/00 
H01L27/18 
H01L39/22 
H01P3/00 
H01P5/02 
H05K1/11 
H05K1/18 
G06N20/00";"G06N10/00 (US) 
G06N20/00 (US) 
G06N20/10 (EP,US) 
G06N99/00 (US) 
H01L27/18 (EP,US) 
H01L39/223 (EP,US) 
H01P3/003 (US) 
H01P5/02 (US) 
H05K1/111 (US) 
H05K1/181 (US)";"2019-06-20 
2020-01-07";2018-02-12;061302008
78;Compressed Unsupervised Quantum State Preparation with Quantum Autoencoders;"ROMERO JHONATHAN [US] 
OLSON JONATHAN [US] 
ASPURU-GUZIK ALAN [CA]";ZAPATA COMPUTING INC [US];US2020005186A1;2018-07-02;"G06N10/00 
G06N20/00";"G06N10/00 (EP,US) 
G06N20/00 (EP,US)";2020-01-02;2020-01-02;069008236
79;Optical transformer device;"SMIRNOV ANATOLY [CA] 
RASHKEEV SERGEY [US] 
ZAGOSKIN ALEXANDRE [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [US];US2003021518A1;2001-06-01;"G02B6/26 
G02B6/26 
G02B6/34 
G02F1/313 
G06N99/00";"B82Y10/00 (EP,US) 
B82Y20/00 (EP,US) 
G02B6/262 (EP,US) 
G02B6/29341 (EP,US) 
G02F1/3132 (EP,US) 
G06N10/00 (EP,US) 
G02F2203/15 (EP,US)";2003-01-30;2003-01-30;027388299
80;Superconducting qubit with a plurality of capacitive couplings;"AMIN MOHAMMAD H [CA] 
AMIN MOHAMMAD H S [CA]";DWAVE SYS INC [CA];"US2006097747A1 
US7268576B2";2004-11-08;"H01L21/00 
H03K19/195";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2006-05-11 
2007-09-11";2006-05-11;036315695
81;Quantum computation;"WHALEY K BIRGIT [US] 
LIDAR DANIEL A [CA] 
KEMPE JULIA [US] 
BACON DAVID [US]";MAGIQ TECHNOLOGIES INC [US];"US2003023651A1 
US7184555B2";2001-04-11;"G06F17/14 
G06F17/10 
G06N99/00 
H03M13/00 
H04L9/00";"B82Y10/00 (EP) 
G06F17/10 (EP) 
G06N10/00 (EP) 
H04L9/0852 (EP) 
H04L2209/34 (EP)";"2003-01-30 
2007-02-27";2003-01-30;026816887
82;PREPARING AND CONVERTING GOTTESMAN-KITAEV-PRESKILL STATES;VERDON-AKZAM GUILLAUME [CA];X DEV LLC [US];US2021103849A1;2019-10-04;G06N10/00;G06N10/00 (EP,US);2021-04-08;2021-04-08;073198430
83;SYSTEMS AND METHODS FOR ERROR CORRECTION IN QUANTUM COMPUTATION;BERKLEY ANDREW J [CA];"DWAVE SYS INC [CA] 
D-WAVE SYSTEMS INC [CA] 
D WAVE SYSTEMS INC [CA]";"EP2954416A1 
EP2954416A4 
EP2954416B1";2013-02-05;"G06F11/00 
G06F11/07 
G06F11/10 
G06N99/00 
G06F11/14 
G06N10/00";"G06F11/0724 (US) 
G06F11/10 (US) 
G06F11/1492 (EP,US) 
G06N10/00 (EP,US)";"2015-12-16 
2017-07-19 
2021-05-12";2014-08-07;051260362
84;Superconducting qubits having a plurality of capacitive couplings;"AMIN MOHAMMAD H [CA] 
AMIN MOHAMMAD H S [CA]";DWAVE SYS INC [CA];"US2006097746A1 
US7253654B2";2004-11-08;H03K19/195;"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G11C11/44 (EP) 
H03K19/1956 (EP,US)";"2006-05-11 
2007-08-07";2006-05-11;036315694
85;Finger SQUID qubit device;"TZALENCHUK ALEXANDER [GB] 
IVANOV ZDRAVKO [SE] 
HILTON JEREMY P [CA] 
TZALENCHUK ALEXANDER [SE]";DWAVE SYS INC [CA];"US2003111659A1 
US6791109B2";2001-12-17;"H01L29/06 
G06N99/00 
H01L27/18";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
Y10S977/933 (EP,US)";"2003-06-19 
2004-09-14";2003-06-19;026700195
86;Multi-junction phase qubit;"AMIN MOHAMMAD H S [CA] 
ZAGOSKIN ALEXANDRE [CA] 
ROSE GEORDIE [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];"US2004012407A1 
US6784451B2";2001-12-18;"H03K19/195 
H01L39/02 
G01R33/035 
G06N99/00 
H01L27/18";"B82Y10/00 (EP) 
G01R33/0358 (EP) 
G06N10/00 (EP) 
H01L27/18 (EP) 
Y10S977/933 (EP)";"2004-01-22 
2004-08-31";2003-07-03;026992761
87;HYBRID CLASSICAL-QUANTUM COMPUTER ARCHITECTURE FOR MOLECULAR MODELING;"HILTON JEREMY P [CA] 
ROSE GEORDIE [CA]";;US2007239366A1;2004-06-05;"G06F17/12 
G06G7/48 
G06G7/58 
G06N99/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G16C10/00 (EP,US) 
G16C20/90 (EP,US)";2007-10-11;2007-10-11;035450113
88;Methods for single qubit gate teleportation;"WU LIAN-AO [CA] 
LIDAR DANIEL AMIHUD [CA] 
BLAIS ALEXANDRE [CA] 
LIDAR DANIEL [CA]";UNIV TORONTO [CA];"US2004119061A1 
US7018852B2";2002-08-01;"H01L29/06 
G06N99/00 
G06F11/08 
H01L21/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H04L9/0852 (EP,US) 
H04L2209/34 (EP,US) 
Y10S438/962 (EP,US) 
Y10S977/933 (EP,US)";"2004-06-24 
2006-03-28";2004-02-12;031495891
89;HYBRID CLASSICAL-QUANTUM COMPUTER ARCHITECTURE FOR MOLECULAR MODELING;"HILTON JEREMY [CA] 
ROSE GEORDIE [CA]";"DWAVE SYS INC [CA] 
HILTON JEREMY [CA] 
ROSE GEORDIE [CA]";WO2005122052A1;2004-06-05;"G06F15/163 
G06F15/80 
G06F17/11 
G06F19/00 
G06F15/163 
G06F15/80 
G06F17/11 
G06F19/00 
G06N99/00";"B82Y10/00 (EP) 
G06N10/00 (EP) 
G16C10/00 (EP) 
G16C20/90 (EP)";2005-12-22;2005-12-22;035503283
90;VOLTAGE-CONTROLLED COMPUTING ELEMENT FOR QUANTUM COMPUTER;"KORKUSINSKI MAREK [CA] 
HAWRYLAK PAWEL [CA]";"CA NAT RESEARCH COUNCIL [CA] 
NAT RES COUNCIL CANADA [CA]";"CA2570354A1 
CA2570354C";2004-06-15;"G06N99/00 
H03K19/08";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2005-12-29 
2014-05-20";2005-12-29;035509925
91;SYSTEMS AND METHODS FOR STOCHASTIC OPTIMIZATION OF A ROBUST INFERENCE PROBLEM;"FRIEDLANDER MICHAEL PAUL [CA] 
RONAGH POOYA [CA] 
SEPEHRY BEHROOZ [CA]";1QB INF TECH INC [CA];WO2019104443A1;2017-12-01;G06F17/00;"G06F17/11 (EP) 
G06F17/18 (US) 
G06K9/6228 (US) 
G06K9/6232 (US) 
G06N10/00 (EP,US) 
G06N20/10 (EP,US) 
G06N3/02 (US) 
G06N5/003 (EP) 
G06N7/005 (EP) 
G06N7/08 (US)";2019-06-06;2019-06-06;066664257
92;ANALOG PROCESSOR COMPRISING QUANTUM DEVICES;"VAN DEN BRINK ALEC MAASSEN [CA] 
LOVE PETER [CA] 
AMIN MOHAMMED H S [CA] 
ROSE GEORDIE [CA] 
GRANT DAVID [CA] 
STEININGER MILES F H [CA] 
BUNYK PAUL [CA] 
BERKLEY ANDREW A [CA] 
BERKLEY ANDREW J [CA]";"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"EP1851693A1 
EP1851693A4 
EP1851693B1 
EP1851693B8";2004-12-23;"G06G7/12 
G06J3/00 
H01L39/22 
G06N10/00 
G06N5/00";"G06F15/76 (US) 
G06F15/80 (US) 
G06G7/12 (KR) 
G06J3/00 (KR) 
G06N10/00 (EP,US) 
G06N5/003 (EP) 
H03K3/38 (EP,US) 
H04L67/12 (US) 
B82Y10/00 (EP,US)";"2007-11-07 
2010-11-10 
2020-11-25 
2021-01-06";2006-06-29;036601331
93;SYSTEMS AND METHODS FOR TUNING CAPACITANCE IN QUANTUM DEVICES;HARRIS RICHARD G [CA];D WAVE SYSTEMS INC [CA];US2021073667A1;2019-09-06;"G06F15/78 
G06N10/00";"G06F15/7867 (US) 
G06N10/00 (EP,US)";2021-03-11;2021-03-11;074851049
94;Quantum phase-charge coupled device;"BLAIS ALEXANDRE [CA] 
P HILTON JEREMY [US] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];"US2003173997A1 
US6670630B2";2002-03-16;"H03K9/08 
H01L39/22 
G06N99/00 
H01L27/18 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
H01L39/22 (EP,US) 
H01L39/225 (EP,US) 
Y10S977/933 (EP,US)";"2003-09-18 
2003-12-30";2003-09-18;028044210
95;QUBIT STATE COPYING;BERKLEY ANDREW J [CA];"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"EP1875413A1 
EP1875413A4 
EP1875413B1";2005-04-26;"G06N99/00 
H01L39/22 
G06N10/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/22 (KR)";"2008-01-09 
2011-12-28 
2020-11-25";2006-11-02;037498057
96;SYSTEMS AND METHODS FOR OPTIMIZING ANNEALING PARAMETERS;AMIN MOHAMMAD [CA];D WAVE SYSTEMS INC [CA];CA3107997A1;2020-02-05;"G06N10/00 
G06N20/00";;2021-08-05;2021-08-05;077176716
97;A PROCESS FOR PREVENTING THE UNAUTHORIZED OR ILLEGAL USE OF WHITENOISE ENCRYPTION TECHNOLOGIES;BRISSON ANDRE J [CA];BRISSON ANDRE J [CA];CA2886850A1;2015-04-07;H04L9/00;"H04L63/0428 (EP) 
H04L63/0471 (EP) 
H04L63/30 (EP) 
H04L9/0869 (EP) 
H04L9/32 (EP)";2016-10-07;2016-10-07;057103706
98;System and Method for Capturing and Processing Image and Text Information;GHADIMI ARYA [CA];GHADIMI ARYA [CA];US2018314673A1;2016-10-20;"G06F17/21 
G06F17/24 
G06F17/27 
G06N3/08 
G06Q50/18";"G06F40/103 (EP,US) 
G06F40/166 (EP,US) 
G06F40/279 (US) 
G06N10/00 (US) 
G06N20/00 (US) 
G06N3/08 (EP,US) 
G06Q50/184 (EP,US) 
G06N10/00 (EP) 
G06N5/04 (US) 
G06V30/416 (US)";2018-11-01;2018-04-20;061968940
99;Hybrid classical-quantum computer architecture for molecular modeling;"HILTON JEREMY P [CA] 
ROSE GEORDIE [CA]";;"US2005273306A1 
US2009182542A9";2001-12-22;"G06G7/48 
G06G7/58 
G06G7/48 
G06G7/58 
G06N99/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";"2005-12-08 
2009-07-16";2005-12-08;046304670
100;SYSTEMS AND METHODS FOR OPTIMIZING ANNEALING PARAMETERS;AMIN MOHAMMAD H [CA];D WAVE SYSTEMS INC [CA];US2021241143A1;2020-02-05;"G06N10/00 
G06N20/00 
G06N5/04";"G06N10/00 (EP,US) 
G06N20/00 (EP,US) 
G06N5/003 (EP) 
G06N5/04 (US) 
G06N3/006 (EP) 
G06N3/0454 (EP) 
G06N3/0472 (EP) 
G06N7/005 (EP)";2021-08-05;2021-08-05;077411090
101;ELECTRONIC CIRCUIT FOR CONTROL OR COUPLING OF SINGLE CHARGES OR SPINS AND METHODS THEREFOR;"PIORO-LADRIERE MICHEL [CA] 
ROCHETTE SOPHIE [CA] 
KING GAMBLE JOHN [US] 
TEN EYCK GREGORY A [US] 
RUDOLPH MARTIN [US] 
CARROLL MALCOLM [US]";"SOCPRA SCIENCES ET GÉNIE S E C [CA] 
NAT TECH & ENG SOLUTIONS SANDIA LLC [US]";WO2017210790A1;2016-06-08;"G06N99/00 
H01L39/02 
H01L39/24";"G06N10/00 (EP,US) 
H01L29/122 (US) 
H01L29/66439 (US) 
H01L29/66977 (US) 
H01L31/035236 (US)";2017-12-14;2017-12-14;060578371
102;Submicron closed-form josephson junctions;"KOVAL YURI [DE] 
USTINOV ALEXEY V [DE] 
HILTON JEREMY P [CA]";;US2003068832A1;2001-08-29;"H01L21/00 
H01L39/24";H01L39/2493 (EP,US);2003-04-10;2003-03-06;023226889
103;INTEGRATED CLUSTERING AND OUTLIER DETECTION USING OPTIMIZATION SOLVER MACHINE;"MANDAL AVRADIP [US] 
USHIJIMA HAYATO [US] 
COHEN ELDAN [CA]";FUJITSU LTD [JP];"US11288540B2 
US2021303915A1";2020-03-31;"G06F9/30 
G06K9/62 
G06K9/00";"G06F9/30036 (US) 
G06K9/6221 (EP,US) 
G06K9/6227 (US) 
G06K9/6284 (EP) 
G06N10/60 (EP) 
G06N20/00 (EP) 
G06V10/955 (EP)";"2021-09-30 
2022-03-29";2021-09-30;072474250
104;Computer Systems and Methods for Computing the Ground State of a Fermi-Hubbard Hamiltonian;"DALLAIRE-DEMERS PIERRE-LUC [CA] 
CAO YUDONG [US] 
KATABARWA AMARA [US] 
GONTHIER JEROME FLORIAN [US] 
JOHNSON PETER D [US]";ZAPATA COMPUTING INC [US];"US11106993B1 
US2021272002A1";2019-09-27;"G06N10/00 
H03K19/195";"G06N10/00 (EP,US) 
G06N5/003 (EP) 
H03K19/195 (US) 
B82Y10/00 (EP)";"2021-09-02 
2021-08-31";2021-04-01;075165077
105;SYSTEMS AND METHODS FOR IMPROVING PERFORMANCE OF AN ANALOG PROCESSOR;KING ANDREW [CA];D WAVE SYSTEMS INC [US];WO2019144118A1;2018-01-22;"G06J1/00 
G06N10/00";"A61K31/496 (US) 
A61K45/06 (US) 
G06J1/00 (US) 
G06N10/00 (EP,US) 
G06N3/063 (US) 
G06N5/003 (EP) 
G06N5/04 (US) 
A61N5/062 (US) 
A61N5/10 (US) 
G06N3/0445 (EP) 
G06N3/0472 (EP)";2019-07-25;2019-07-25;067301888
106;Algorithmic cooling;"MOR TAL [US] 
ROYCHOWDHURY VWANI [US] 
LLOYD SETH [US] 
FERNANDEZ JOSE MANUEL [CA] 
WEINSTEIN YOSSI [IL] 
MOR TAL [IL]";;"US2004051528A1 
US6873154B2";2002-06-17;"G01V3/00 
G01R33/46";G01R33/4608 (EP,US);"2004-03-18 
2005-03-29";2004-03-18;031997297
