No;Title;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
13;SUPERCONDUCTING DOT/ANTI-DOT FLUX QUBIT BASED ON TIME-REVERSAL SYMMETRY BREAKING EFFECTS;"ZAGOSKIN ALEXANDRE M [CA] 
ROSE GEORDIE [CA] 
AMIN MOHAMMAD H S [CA] 
FRANZ MARCEL [CA] 
HILTON JEREMY P [CA]";DWAVE SYS INC [CA];"US2002130315A1 
US6504172B2";2001-03-16;"H01L31/0328 
H01L29/06 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/22 (EP,US) 
Y10S977/933 (EP,US)";"2002-09-19 
2003-01-07";2002-09-19;025204786
14;Quantum computing method using magnetic flux states at a josephson junction;ZAGOSKIN ALEXANDRE M [CA];DWAVE SYS INC [CA];"US2001020701A1 
US6563311B2";1999-12-01;"H01L29/06 
G01R33/035 
G06F7/48 
G06N1/00 
H01L39/22 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/225 (EP,US) 
Y10S505/829 (EP,US) 
Y10S977/933 (EP,US)";"2001-09-13 
2003-05-13";2001-09-13;023797775
15;METHODS AND SYSTEMS FOR IMPLEMENTING QUANTUM COMPUTER ALGORITHMS USING FEEDBACK TECHNIQUES IN REVERSIBLE LOGIC CIRCUITS;HAMEL JOHN STARR [CA];HAMEL JOHN STARR [CA];WO2009109041A1;2008-03-05;"G01N1/00 
H03K19/20";H03K19/20 (EP);2009-09-11;2009-09-11;039316015
16;Dressed qubits;"LIDAR DANIEL A [CA] 
WU LIAN-AO [CA]";"DWAVE SYS INC [CA] 
UNIV TORONTO [CA]";"US2004238813A1 
US7364923B2";2003-03-03;"H01L29/06 
H01L31/0256 
G06N99/00 
H01L21/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
Y10S438/962 (EP,US)";"2004-12-02 
2008-04-29";2004-09-16;032962661
17;VERIFIED COMPILATION OF REVERSIBLE CIRCUITS;"AMY MATTHEW [CA] 
ROETTELER MARTIN [US] 
SVORE KRYSTA [US]";MICROSOFT TECHNOLOGY LICENSING LLC [US];"US10664249B2 
US2017147303A1";2015-11-20;"G06F9/45 
G06F8/41 
G06N10/00";"G06F8/436 (US) 
G06F8/44 (US) 
G06N10/00 (EP,US)";"2017-05-25 
2020-05-26";2017-05-25;057482510
18;FINGER SQUID QUBIT DEVICE;"TZALENCHUK ALEXANDER [GB] 
IVANOV ZDRAVKO [SE] 
HILTON JEREMY P [GB] 
TZALENCHUK ALEXANDER [SE] 
HILTON JEREMY P [CA]";"DWAVE SYS INC [US] 
DWAVE SYS INC [CA]";"US2003111661A1 
US6614047B2";2001-12-17;"H01L29/06 
H01L29/00 
G06N99/00 
H01L27/18";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
Y10S977/933 (EP,US)";"2003-06-19 
2003-09-02";2003-06-19;021828376
19;OPTIMIZATION METHOD FOR QUANTUM COMPUTING PROCESS;BLAIS ALEXANDRE [CA];DWAVE SYS INC [CA];CA2438313A1;2001-02-13;"G06N1/00 
B82B1/00 
G06N99/00 
H01L29/66 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2002-08-22;2002-08-22;025127488
20;Quantum computing method using josephson junctions between s-wave and d-wave superconductors;ZAGOSKIN ALEXANDRE M [CA];DWAVE SYS INC [CA];"US2001023943A1 
US6563310B2";2000-01-07;"H01L29/06 
G01R33/035 
G06F7/48 
G06N1/00 
H01L39/22 
G06N99/00 
H01L29/06 
H01L29/66 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/225 (EP,US) 
Y10S505/829 (EP,US) 
Y10S977/933 (EP,US)";"2001-09-27 
2003-05-13";2001-07-12;023903596
21;QUANTUM BIT WITH A MULTI-TERMINAL JUNCTION AND LOOP WITH A PHASE SHIFT;"OMELYANCHOUK ALEXANDER [UA] 
ZAGOSKIN ALEXANDRE [CA] 
DUTY TIMOTHY LEE [CA] 
ROSE GEORDIE [CA] 
AMIN MOHAMMAD H S [CA] 
BLAIS ALEXANDRE [CA]";DWAVE SYS INC [CA];CA2444659A1;2000-12-22;"G06N1/00 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/223 (EP,US) 
H01L39/225 (EP,US) 
H01L39/228 (EP,US) 
Y10S977/933 (EP,US)";2002-10-31;2002-08-29;025280278
22;Extra-substrate control system;"IL ICHEV EVGENI [DE] 
STEININGER MILES F H [CA]";"DWAVE SYS INC [US] 
DWAVE SYS INC [CA]";"US2004140537A1 
US7042005B2";2002-04-15;"H01L39/00 
G06N99/00 
H01L27/18 
H01L29/06";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L27/18 (EP,US) 
Y10S977/933 (EP,US)";"2004-07-22 
2006-05-09";2003-10-16;028793922
23;QUANTUM-WALK-BASED ALGORITHM FOR CLASSICAL OPTIMIZATION PROBLEMS;"TROYER MATTHIAS [US] 
POULIN DAVID [CA] 
HEIM BETTINA [US] 
LEMIEUX JESSICA [CA]";MICROSOFT TECHNOLOGY LICENSING LLC [US];US2020090072A1;2018-09-19;"G06K9/62 
G06N10/00";"G06F30/20 (EP,US) 
G06K9/6297 (US) 
G06N10/00 (EP,US) 
G06N5/003 (EP) 
G06N3/0445 (EP) 
G06N3/0472 (EP)";2020-03-19;2020-03-19;069774143
24;Quantum bit with a multi-terminal junction and loop with a phase shift;"AMIN MOHAMMAD H S [CA] 
DUTY TIMOTHY [CA] 
OMELYANCHOUK ALEXANDER [UA] 
ROSE GEORDIE [CA] 
ZAGOSKIN ALEXANDRE [CA] 
BLAIS ALEXANDRE [CA]";;US2002117738A1;2000-12-22;"G06F15/00 
G06F15/76 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US)";2002-08-29;2002-08-29;026946088
25;Quantum bit with a multi-terminal junction and loop wih a phase shift;"AMIN MOHAMMAD H S [CA] 
DUTY TIMOTHY [CA] 
OMELYANCHOUK ALEXANDER [UA] 
ROSE GEORDIE [CA] 
ZAGOSKIN ALEXANDRE [CA] 
BLAIS ALEXANDRE [CA]";DWAVE SYS INC [CA];"US2002121636A1 
US6987282B2";2000-12-22;"H01L29/06 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
H01L39/223 (EP,US) 
H01L39/225 (EP,US) 
H01L39/228 (EP,US) 
Y10S977/933 (EP,US)";"2002-09-05 
2006-01-17";2002-09-05;026946086
26;METHODS AND SYSTEMS FOR QUANTUM COMPUTING;DADASHIKELAYEH MAJID [CA];1QB INF TECH INC [CA];"US10713582B2 
US2019019103A1";2016-03-11;"G06F9/50 
G06N10/00 
G06F17/11 
G06F8/30 
G06F9/44 
G06N5/00 
G06N5/02 
G06F9/32";"G06F8/30 (EP,US) 
G06F9/44 (EP,US) 
G06F9/50 (US) 
G06N10/00 (EP,US) 
G06N5/003 (EP,US) 
G06N5/02 (US) 
G06F9/32 (US)";"2019-01-17 
2020-07-14";2017-09-14;059788873
27;Systems, methods and apparatus for local programming of quantum processor elements;"GEORDIE ROSE [CA] 
BERKLEY ANDREW J 
ROSE GEORDIE 
BUNYK PAUL I";"DWAVE SYS INC [CA] 
DWAVE SYS INC";"CN101548288A 
CN101548288B";2006-12-05;"G06N99/00 
G06J3/00 
H01L39/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06J3/00 (KR) 
G06N10/00 (EP,US) 
G06N99/00 (KR) 
H01L39/00 (KR) 
H01L39/22 (KR)";"2009-09-30 
2013-04-24";2008-06-12;039491618
28;METHODS OF ADIABATIC QUANTUM COMPUTATION;AMIN DR MOHAMMAD H [CA];"DWAVE SYS INC [CA] 
AMIN DR MOHAMMAD H [CA]";WO2007085074A1;2006-01-27;"G06N99/00 
H01L39/00";"B82Y10/00 (EP,US) 
G06F7/00 (KR) 
G06N10/00 (EP,US) 
G06N99/00 (KR) 
H01L39/00 (KR)";2007-08-02;2007-08-02;038308794
29;Methods And Systems For Quantum Computing Enabled Molecular AB Initio Simulations;"YAMAZAKI TAKESHI [CA] 
ZARIBAFIYAN ARMAN [CA] 
MATSUURA SHUNJI [CA] 
PLESCH RUDOLF [CA]";1QB INF TECH INC [CA];US2022068439A1;2019-05-13;"G06J1/00 
G06N10/00 
G16C10/00";"G06J1/00 (US) 
G06N10/00 (EP,US) 
G06N10/20 (KR) 
G06N10/60 (KR) 
G16B15/00 (EP,KR) 
G16C10/00 (EP,KR,US)";2022-03-03;2020-11-19;073289114
30;Quantum logic using three energy levels;"AMIN MOHAMMAD H S [CA] 
SMIRNOV ANATOLY YU [CA] 
MAASSEN VAN DEN BRINK ALEXANDE [CA] 
HILTON JEREMY P [CA] 
STEININGER MILES F H [CA]";DWAVE SYS INC [CA];"US2004165454A1 
US6943368B2";2002-11-25;"G11C29/00 
H01L29/06 
G06N99/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
Y10S977/933 (EP,US)";"2004-08-26 
2005-09-13";2004-06-10;032397179
31;UNIVERSAL ADIABATIC QUANTUM COMPUTING WITH SUPERCONDUCTING QUBITS;"HARRIS RICHARD G [CA] 
AMIN MOHAMMAD H S [CA] 
SMIRNOV ANATOLY [CA]";"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US10037493B2 
US2015111754A1";2013-10-22;"G11C11/44 
G06N99/00 
G06F17/00 
H03K19/195 
H03K3/38 
G11C11/44";"G06N10/00 (EP,US) 
H03K19/1952 (EP,US) 
H03K3/38 (EP,US) 
G11C11/44 (EP,US)";"2015-04-23 
2018-07-31";2015-04-23;052826675
32;PHYSICAL REALIZATIONS OF A UNIVERSAL ADIABATIC QUANTUM COMPUTER;"BIAMONTE JACOB DANIEL [CA] 
BERKLEY ANDREW J [CA] 
AMIN MOHAMMAD H S [CA]";"DWAVE SYS INC [CA] 
D WAVE SYSTEMS INC [CA]";"US2016012346A1 
US9984333B2";2007-04-05;"G06N99/00 
B82Y10/00";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
G06N99/00 (US) 
Y10S977/933 (EP,US)";"2016-01-14 
2018-05-29";2008-10-16;039830440
33;METHODS AND SYSTEMS FOR SETTING A SYSTEM OF SUPER CONDUCTING QUBITS HAVING A HAMILTONIAN REPRESENTATIVE OF A POLYNOMIAL ON A BOUNDED INTEGER DOMAIN;"KARIMI SAHAR [CA] 
RONAGH POOYA [CA]";1QB INF TECH INC [CA];US2017344898A1;2016-05-26;"G06F15/78 
G06N99/00";"G06F15/78 (US) 
G06N10/00 (EP,GB,US)";2017-11-30;2017-11-30;060411012
34;TOMOGRAPHY AND GENERATIVE DATA MODELING VIA QUANTUM BOLTZMANN TRAINING;"WIEBE NATHAN O [US] 
KIEFEROVA MARIA [CA]";MICROSOFT TECHNOLOGY LICENSING LLC [US];"US11157828B2 
US2018165601A1";2016-12-08;"G06N99/00 
G06F17/11 
G06F7/523 
G06N10/00 
G06N20/00 
G06N3/04 
G06N3/06";"G06F17/11 (US) 
G06F7/523 (US) 
G06N10/00 (EP,US) 
G06N20/00 (EP,US) 
G06N3/0445 (EP,US) 
G06N3/06 (EP,US)";"2018-06-14 
2021-10-26";2018-06-14;062489377
35;Quantum processing system for a superconducting phase qubit;"AMIN MOHAMMAD H S [CA] 
ROSE GEORDIE [CA] 
ZAGOSKIN ALEXANDRE [CA] 
HILTON JEREMY P [CA]";"WAVE SYSTEM INC D [US] 
DWAVE SYS INC [CA]";"US2002188578A1 
US6803599B2";2001-06-01;"G06E1/00 
H01L29/06 
G06F7/48 
G06N99/00 
H01L39/22";"B82Y10/00 (EP,US) 
G06N10/00 (EP,US) 
Y10S977/933 (EP,US)";"2002-12-12 
2004-10-12";2002-12-05;025359679
